node_index,node_id,longitude,latitude,rain_susceptibility,rain_susceptibility_dense,sensitivity_hits,evidence_rows
0,Interpolated_3046462,98.9307861328125,30.577735900878906,0.0,0.25685298442840576,3.0,12
1,Interpolated_3049154,98.93135833740234,30.57795524597168,0.0,0.35618066787719727,3.0,12
2,Interpolated_3051813,98.92692565917969,30.57737922668457,0.0,0.5018665194511414,3.0,12
3,Interpolated_3054486,98.9251480102539,30.577224731445312,0.0,0.36913949251174927,3.0,12
4,Interpolated_3054501,98.9267807006836,30.577484130859375,0.0,0.3543850779533386,3.0,12
5,Interpolated_3054505,98.92713928222656,30.57754135131836,0.02952134795486927,0.5351864099502563,3.0,12
6,Interpolated_3057192,98.92691040039062,30.577632904052734,0.0,0.3655869960784912,3.0,12
7,Interpolated_3057195,98.92719268798828,30.57767677307129,0.0,0.4419736862182617,3.0,12
8,Interpolated_3059860,98.924560546875,30.5773868560791,0.0,0.31551116704940796,3.0,12
9,Interpolated_3059886,98.9273452758789,30.577829360961914,0.07645455002784729,0.5571787357330322,3.0,12
10,Interpolated_3059907,98.9295883178711,30.57818603515625,0.0,0.4731575846672058,3.0,12
11,Interpolated_3062573,98.9271011352539,30.577919006347656,0.0,0.21599529683589935,3.0,12
12,Interpolated_3062598,98.92976379394531,30.57834243774414,0.19783875346183777,0.6140578985214233,3.0,12
13,Interpolated_3065259,98.92672729492188,30.577987670898438,0.0,0.35228073596954346,3.0,12
14,Interpolated_3065262,98.92703247070312,30.578035354614258,0.0,0.33232855796813965,3.0,12
15,Interpolated_3065273,98.92813873291016,30.578210830688477,0.0,0.43928271532058716,3.0,12
16,Interpolated_3065291,98.9301986694336,30.57853889465332,0.0,0.5046664476394653,3.0,12
17,Interpolated_3065306,98.93408203125,30.579153060913086,0.0,0.3587171137332916,3.0,12
18,Interpolated_3067941,98.9259033203125,30.577983856201172,0.0,0.4755867123603821,3.0,12
19,Interpolated_3067949,98.92676544189453,30.578121185302734,0.0,0.3022036552429199,3.0,12
20,Interpolated_3067952,98.92707824707031,30.578170776367188,0.0,0.5178195834159851,3.0,12
