date,rain_mm,source,lon_min,lon_max,lat_min,lat_max
2014-10-24,0.0,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185547,99.18871307373047,30.327224731445312,30.84276580810547
2014-10-25,0.0,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185547,99.18871307373047,30.327224731445312,30.84276580810547
2014-10-26,0.0,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185547,99.18871307373047,30.327224731445312,30.84276580810547
2014-10-27,0.45438453555107117,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185547,99.18871307373047,30.327224731445312,30.84276580810547
2014-10-28,0.0,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185547,99.18871307373047,30.327224731445312,30.84276580810547
2014-10-29,0.0,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185547,99.18871307373047,30.327224731445312,30.84276580810547
2014-10-30,0.0,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185547,99.18871307373047,30.327224731445312,30.84276580810547
2014-10-31,0.0,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185547,99.18871307373047,30.327224731445312,30.84276580810547
2014-11-01,0.0,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185547,99.18871307373047,30.327224731445312,30.84276580810547
2014-11-02,0.0,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185547,99.18871307373047,30.327224731445312,30.84276580810547
2014-11-03,0.4463484585285187,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185547,99.18871307373047,30.327224731445312,30.84276580810547
2014-11-04,0.0,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185547,99.18871307373047,30.327224731445312,30.84276580810547
2014-11-05,0.0,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185547,99.18871307373047,30.327224731445312,30.84276580810547
2014-11-06,0.571689248085022,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185547,99.18871307373047,30.327224731445312,30.84276580810547
2014-11-07,0.0,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185547,99.18871307373047,30.327224731445312,30.84276580810547
2014-11-08,0.0,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185547,99.18871307373047,30.327224731445312,30.84276580810547
2014-11-09,0.0,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185547,99.18871307373047,30.327224731445312,30.84276580810547
2014-11-10,0.0,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185547,99.18871307373047,30.327224731445312,30.84276580810547
2014-11-11,0.0,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185547,99.18871307373047,30.327224731445312,30.84276580810547
2014-11-12,0.0,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185547,99.18871307373047,30.327224731445312,30.84276580810547
2014-11-13,0.0,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185547,99.18871307373047,30.327224731445312,30.84276580810547
2014-11-14,0.0,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185547,99.18871307373047,30.327224731445312,30.84276580810547
